model_family,model_variant,value,delta_type,contrast,delta_f1
deberta,microsoft/deberta-v3-base,Face,context_gain_no_rag,window_none - sentence_none,0.0949448952009403
deberta,microsoft/deberta-v3-base,Face,context_gain_no_rag,doc_none - sentence_none,0.08852060201663212
deberta,microsoft/deberta-v3-base,Face,context_gain_rag,window_early - sentence_early,0.013957690201558015
deberta,microsoft/deberta-v3-base,Face,context_gain_rag,doc_early - sentence_early,0.055295649041350786
deberta,microsoft/deberta-v3-base,Face,rag_gain,sentence_early - sentence_none,0.0930463478304184
deberta,microsoft/deberta-v3-base,Face,rag_gain,window_early - window_none,0.012059142831036124
deberta,microsoft/deberta-v3-base,Face,rag_gain,doc_early - doc_none,0.05982139485513707
deberta,microsoft/deberta-v3-base,Face,architecture_gain,doc_late - doc_early,-0.05122692276013882
deberta,microsoft/deberta-v3-base,Face,architecture_gain,doc_cross_attention - doc_early,-0.03041534849864172
deberta,microsoft/deberta-v3-base,Hedonism,context_gain_no_rag,window_none - sentence_none,0.09539428277131909
deberta,microsoft/deberta-v3-base,Hedonism,context_gain_no_rag,doc_none - sentence_none,0.09987992756568667
deberta,microsoft/deberta-v3-base,Hedonism,context_gain_rag,window_early - sentence_early,0.04819239350867946
deberta,microsoft/deberta-v3-base,Hedonism,context_gain_rag,doc_early - sentence_early,0.06531152842586599
deberta,microsoft/deberta-v3-base,Hedonism,rag_gain,sentence_early - sentence_none,0.06873149645973758
deberta,microsoft/deberta-v3-base,Hedonism,rag_gain,window_early - window_none,0.021529607197097955
deberta,microsoft/deberta-v3-base,Hedonism,rag_gain,doc_early - doc_none,0.0341630973199169
deberta,microsoft/deberta-v3-base,Hedonism,architecture_gain,doc_late - doc_early,-0.02814323678359526
deberta,microsoft/deberta-v3-base,Hedonism,architecture_gain,doc_cross_attention - doc_early,0.01684299207451917
deberta,microsoft/deberta-v3-base,Humility,context_gain_no_rag,window_none - sentence_none,0.0
deberta,microsoft/deberta-v3-base,Humility,context_gain_no_rag,doc_none - sentence_none,0.01904761904761905
deberta,microsoft/deberta-v3-base,Humility,context_gain_rag,window_early - sentence_early,0.0
deberta,microsoft/deberta-v3-base,Humility,context_gain_rag,doc_early - sentence_early,0.014184397163120567
deberta,microsoft/deberta-v3-base,Humility,rag_gain,sentence_early - sentence_none,0.0
deberta,microsoft/deberta-v3-base,Humility,rag_gain,window_early - window_none,0.0
deberta,microsoft/deberta-v3-base,Humility,rag_gain,doc_early - doc_none,-0.004863221884498482
deberta,microsoft/deberta-v3-base,Humility,architecture_gain,doc_late - doc_early,0.0043341213553979505
deberta,microsoft/deberta-v3-base,Humility,architecture_gain,doc_cross_attention - doc_early,-0.014184397163120567
deberta,microsoft/deberta-v3-base,Power: dominance,context_gain_no_rag,window_none - sentence_none,0.0334227683857235
deberta,microsoft/deberta-v3-base,Power: dominance,context_gain_no_rag,doc_none - sentence_none,0.05377253780287339
deberta,microsoft/deberta-v3-base,Power: dominance,context_gain_rag,window_early - sentence_early,0.018208014815174756
deberta,microsoft/deberta-v3-base,Power: dominance,context_gain_rag,doc_early - sentence_early,0.01757598420470724
deberta,microsoft/deberta-v3-base,Power: dominance,rag_gain,sentence_early - sentence_none,0.039991127206462196
deberta,microsoft/deberta-v3-base,Power: dominance,rag_gain,window_early - window_none,0.02477637363591345
deberta,microsoft/deberta-v3-base,Power: dominance,rag_gain,doc_early - doc_none,0.003794573608296048
deberta,microsoft/deberta-v3-base,Power: dominance,architecture_gain,doc_late - doc_early,-0.01840966458327503
deberta,microsoft/deberta-v3-base,Power: dominance,architecture_gain,doc_cross_attention - doc_early,0.0008461075929191431
deberta,microsoft/deberta-v3-base,Power: resources,context_gain_no_rag,window_none - sentence_none,0.028619265990145193
deberta,microsoft/deberta-v3-base,Power: resources,context_gain_no_rag,doc_none - sentence_none,0.0380544670373405
deberta,microsoft/deberta-v3-base,Power: resources,context_gain_rag,window_early - sentence_early,0.022765626820387963
deberta,microsoft/deberta-v3-base,Power: resources,context_gain_rag,doc_early - sentence_early,0.04053593444340958
deberta,microsoft/deberta-v3-base,Power: resources,rag_gain,sentence_early - sentence_none,0.0211427477788797
deberta,microsoft/deberta-v3-base,Power: resources,rag_gain,window_early - window_none,0.01528910860912247
deberta,microsoft/deberta-v3-base,Power: resources,rag_gain,doc_early - doc_none,0.023624215184948782
deberta,microsoft/deberta-v3-base,Power: resources,architecture_gain,doc_late - doc_early,-0.029255558862362807
deberta,microsoft/deberta-v3-base,Power: resources,architecture_gain,doc_cross_attention - doc_early,-0.004365995634158404
deberta,microsoft/deberta-v3-base,Security: personal,context_gain_no_rag,window_none - sentence_none,0.02640911629685322
deberta,microsoft/deberta-v3-base,Security: personal,context_gain_no_rag,doc_none - sentence_none,0.047759186202815884
deberta,microsoft/deberta-v3-base,Security: personal,context_gain_rag,window_early - sentence_early,0.0489253774633438
deberta,microsoft/deberta-v3-base,Security: personal,context_gain_rag,doc_early - sentence_early,0.03465815299824715
deberta,microsoft/deberta-v3-base,Security: personal,rag_gain,sentence_early - sentence_none,0.060342800254331086
deberta,microsoft/deberta-v3-base,Security: personal,rag_gain,window_early - window_none,0.08285906142082167
deberta,microsoft/deberta-v3-base,Security: personal,rag_gain,doc_early - doc_none,0.04724176704976235
deberta,microsoft/deberta-v3-base,Security: personal,architecture_gain,doc_late - doc_early,-0.024513549559688486
deberta,microsoft/deberta-v3-base,Security: personal,architecture_gain,doc_cross_attention - doc_early,0.001227872553460685
deberta,microsoft/deberta-v3-base,Security: societal,context_gain_no_rag,window_none - sentence_none,0.04161676539419884
deberta,microsoft/deberta-v3-base,Security: societal,context_gain_no_rag,doc_none - sentence_none,0.03074988968706882
deberta,microsoft/deberta-v3-base,Security: societal,context_gain_rag,window_early - sentence_early,0.02259529618736955
deberta,microsoft/deberta-v3-base,Security: societal,context_gain_rag,doc_early - sentence_early,0.03651641692291535
deberta,microsoft/deberta-v3-base,Security: societal,rag_gain,sentence_early - sentence_none,0.02071492920111101
deberta,microsoft/deberta-v3-base,Security: societal,rag_gain,window_early - window_none,0.0016934599942817208
deberta,microsoft/deberta-v3-base,Security: societal,rag_gain,doc_early - doc_none,0.02648145643695754
deberta,microsoft/deberta-v3-base,Security: societal,architecture_gain,doc_late - doc_early,-0.012840624580524873
deberta,microsoft/deberta-v3-base,Security: societal,architecture_gain,doc_cross_attention - doc_early,0.0019883467256425758
deberta,microsoft/deberta-v3-base,Self-direction: action,context_gain_no_rag,window_none - sentence_none,0.0532854575029026
deberta,microsoft/deberta-v3-base,Self-direction: action,context_gain_no_rag,doc_none - sentence_none,0.07261121442124234
deberta,microsoft/deberta-v3-base,Self-direction: action,context_gain_rag,window_early - sentence_early,0.007036752528520929
deberta,microsoft/deberta-v3-base,Self-direction: action,context_gain_rag,doc_early - sentence_early,0.04054766410673594
deberta,microsoft/deberta-v3-base,Self-direction: action,rag_gain,sentence_early - sentence_none,0.06466294923428519
deberta,microsoft/deberta-v3-base,Self-direction: action,rag_gain,window_early - window_none,0.01841424425990351
deberta,microsoft/deberta-v3-base,Self-direction: action,rag_gain,doc_early - doc_none,0.03259939891977878
deberta,microsoft/deberta-v3-base,Self-direction: action,architecture_gain,doc_late - doc_early,-0.01599178101265808
deberta,microsoft/deberta-v3-base,Self-direction: action,architecture_gain,doc_cross_attention - doc_early,-0.03097158488022131
deberta,microsoft/deberta-v3-base,Self-direction: thought,context_gain_no_rag,window_none - sentence_none,0.013225901399607227
deberta,microsoft/deberta-v3-base,Self-direction: thought,context_gain_no_rag,doc_none - sentence_none,-0.002711475465359353
deberta,microsoft/deberta-v3-base,Self-direction: thought,context_gain_rag,window_early - sentence_early,0.03383485716840061
deberta,microsoft/deberta-v3-base,Self-direction: thought,context_gain_rag,doc_early - sentence_early,0.05456200603098865
deberta,microsoft/deberta-v3-base,Self-direction: thought,rag_gain,sentence_early - sentence_none,-0.028845578096965353
deberta,microsoft/deberta-v3-base,Self-direction: thought,rag_gain,window_early - window_none,-0.008236622328171968
deberta,microsoft/deberta-v3-base,Self-direction: thought,rag_gain,doc_early - doc_none,0.02842790339938265
deberta,microsoft/deberta-v3-base,Self-direction: thought,architecture_gain,doc_late - doc_early,0.033114265081119726
deberta,microsoft/deberta-v3-base,Self-direction: thought,architecture_gain,doc_cross_attention - doc_early,-0.010386053331531891
deberta,microsoft/deberta-v3-base,Stimulation,context_gain_no_rag,window_none - sentence_none,0.021447694351467983
deberta,microsoft/deberta-v3-base,Stimulation,context_gain_no_rag,doc_none - sentence_none,0.01848631555695221
deberta,microsoft/deberta-v3-base,Stimulation,context_gain_rag,window_early - sentence_early,0.028908209953750624
deberta,microsoft/deberta-v3-base,Stimulation,context_gain_rag,doc_early - sentence_early,0.0447940334516235
deberta,microsoft/deberta-v3-base,Stimulation,rag_gain,sentence_early - sentence_none,0.035809488048065746
deberta,microsoft/deberta-v3-base,Stimulation,rag_gain,window_early - window_none,0.04327000365034839
deberta,microsoft/deberta-v3-base,Stimulation,rag_gain,doc_early - doc_none,0.062117205942737036
deberta,microsoft/deberta-v3-base,Stimulation,architecture_gain,doc_late - doc_early,-0.039224288620746284
deberta,microsoft/deberta-v3-base,Stimulation,architecture_gain,doc_cross_attention - doc_early,-0.016044994966192605
deberta,microsoft/deberta-v3-base,Tradition,context_gain_no_rag,window_none - sentence_none,0.062387803904989714
deberta,microsoft/deberta-v3-base,Tradition,context_gain_no_rag,doc_none - sentence_none,0.0855002809694011
deberta,microsoft/deberta-v3-base,Tradition,context_gain_rag,window_early - sentence_early,0.04346482722947803
deberta,microsoft/deberta-v3-base,Tradition,context_gain_rag,doc_early - sentence_early,0.015819825152430023
deberta,microsoft/deberta-v3-base,Tradition,rag_gain,sentence_early - sentence_none,0.07064341510084593
deberta,microsoft/deberta-v3-base,Tradition,rag_gain,window_early - window_none,0.05172043842533425
deberta,microsoft/deberta-v3-base,Tradition,rag_gain,doc_early - doc_none,0.0009629592838748535
deberta,microsoft/deberta-v3-base,Tradition,architecture_gain,doc_late - doc_early,0.00085910263333
deberta,microsoft/deberta-v3-base,Tradition,architecture_gain,doc_cross_attention - doc_early,0.009182044668262668
deberta,microsoft/deberta-v3-base,Universalism: concern,context_gain_no_rag,window_none - sentence_none,0.024088456129489233
deberta,microsoft/deberta-v3-base,Universalism: concern,context_gain_no_rag,doc_none - sentence_none,0.02144364645862301
deberta,microsoft/deberta-v3-base,Universalism: concern,context_gain_rag,window_early - sentence_early,0.04976711553624391
deberta,microsoft/deberta-v3-base,Universalism: concern,context_gain_rag,doc_early - sentence_early,0.033367452484476756
deberta,microsoft/deberta-v3-base,Universalism: concern,rag_gain,sentence_early - sentence_none,0.009924484636119946
deberta,microsoft/deberta-v3-base,Universalism: concern,rag_gain,window_early - window_none,0.035603144042874624
deberta,microsoft/deberta-v3-base,Universalism: concern,rag_gain,doc_early - doc_none,0.02184829066197369
deberta,microsoft/deberta-v3-base,Universalism: concern,architecture_gain,doc_late - doc_early,-0.019268287079936053
deberta,microsoft/deberta-v3-base,Universalism: concern,architecture_gain,doc_cross_attention - doc_early,0.009015571873422001
deberta,microsoft/deberta-v3-base,Universalism: nature,context_gain_no_rag,window_none - sentence_none,0.007686619914211379
deberta,microsoft/deberta-v3-base,Universalism: nature,context_gain_no_rag,doc_none - sentence_none,0.016682771260101648
deberta,microsoft/deberta-v3-base,Universalism: nature,context_gain_rag,window_early - sentence_early,0.022912143781089078
deberta,microsoft/deberta-v3-base,Universalism: nature,context_gain_rag,doc_early - sentence_early,0.04143346256910496
deberta,microsoft/deberta-v3-base,Universalism: nature,rag_gain,sentence_early - sentence_none,-0.00620632126851528
deberta,microsoft/deberta-v3-base,Universalism: nature,rag_gain,window_early - window_none,0.009019202598362419
deberta,microsoft/deberta-v3-base,Universalism: nature,rag_gain,doc_early - doc_none,0.018544370040488034
deberta,microsoft/deberta-v3-base,Universalism: nature,architecture_gain,doc_late - doc_early,-0.04095270622280822
deberta,microsoft/deberta-v3-base,Universalism: nature,architecture_gain,doc_cross_attention - doc_early,-0.01327071230150334
deberta,microsoft/deberta-v3-base,Universalism: tolerance,context_gain_no_rag,window_none - sentence_none,0.07919525379337994
deberta,microsoft/deberta-v3-base,Universalism: tolerance,context_gain_no_rag,doc_none - sentence_none,0.07179270238275959
deberta,microsoft/deberta-v3-base,Universalism: tolerance,context_gain_rag,window_early - sentence_early,0.039260116574265896
deberta,microsoft/deberta-v3-base,Universalism: tolerance,context_gain_rag,doc_early - sentence_early,0.0650538502525835
deberta,microsoft/deberta-v3-base,Universalism: tolerance,rag_gain,sentence_early - sentence_none,0.05008744413101435
deberta,microsoft/deberta-v3-base,Universalism: tolerance,rag_gain,window_early - window_none,0.010152306911900305
deberta,microsoft/deberta-v3-base,Universalism: tolerance,rag_gain,doc_early - doc_none,0.043348592000838265
deberta,microsoft/deberta-v3-base,Universalism: tolerance,architecture_gain,doc_late - doc_early,-0.018358792507318644
deberta,microsoft/deberta-v3-base,Universalism: tolerance,architecture_gain,doc_cross_attention - doc_early,-0.06673180602004367
deberta,microsoft/deberta-v3-large,Achievement,context_gain_no_rag,window_none - sentence_none,-0.022926506381035883
deberta,microsoft/deberta-v3-large,Achievement,context_gain_no_rag,doc_none - sentence_none,0.06121745482180402
deberta,microsoft/deberta-v3-large,Achievement,context_gain_rag,window_early - sentence_early,-0.017381120122971327
deberta,microsoft/deberta-v3-large,Achievement,context_gain_rag,doc_early - sentence_early,0.04735071418335263
deberta,microsoft/deberta-v3-large,Achievement,rag_gain,sentence_early - sentence_none,0.026262221054440704
deberta,microsoft/deberta-v3-large,Achievement,rag_gain,window_early - window_none,0.03180760731250526
deberta,microsoft/deberta-v3-large,Achievement,rag_gain,doc_early - doc_none,0.012395480415989313
deberta,microsoft/deberta-v3-large,Achievement,architecture_gain,doc_late - doc_early,-0.022414578717088796
deberta,microsoft/deberta-v3-large,Achievement,architecture_gain,doc_cross_attention - doc_early,-0.012528455020424378
deberta,microsoft/deberta-v3-large,Benevolence: caring,context_gain_no_rag,window_none - sentence_none,-0.03370883635810071
deberta,microsoft/deberta-v3-large,Benevolence: caring,context_gain_no_rag,doc_none - sentence_none,0.05054027280038911
deberta,microsoft/deberta-v3-large,Benevolence: caring,context_gain_rag,window_early - sentence_early,-0.02755398696118913
deberta,microsoft/deberta-v3-large,Benevolence: caring,context_gain_rag,doc_early - sentence_early,0.041791756520184825
deberta,microsoft/deberta-v3-large,Benevolence: caring,rag_gain,sentence_early - sentence_none,0.02551254764929889
deberta,microsoft/deberta-v3-large,Benevolence: caring,rag_gain,window_early - window_none,0.031667397046210466
deberta,microsoft/deberta-v3-large,Benevolence: caring,rag_gain,doc_early - doc_none,0.0167640313690946
deberta,microsoft/deberta-v3-large,Benevolence: caring,architecture_gain,doc_late - doc_early,-0.010640127527314663
deberta,microsoft/deberta-v3-large,Benevolence: caring,architecture_gain,doc_cross_attention - doc_early,-0.00412111800601711
deberta,microsoft/deberta-v3-large,Benevolence: dependability,context_gain_no_rag,window_none - sentence_none,-0.08506362327793471
deberta,microsoft/deberta-v3-large,Benevolence: dependability,context_gain_no_rag,doc_none - sentence_none,0.025044827314815388
deberta,microsoft/deberta-v3-large,Benevolence: dependability,context_gain_rag,window_early - sentence_early,-0.030526022853834378
deberta,microsoft/deberta-v3-large,Benevolence: dependability,context_gain_rag,doc_early - sentence_early,0.03589624272215916
deberta,microsoft/deberta-v3-large,Benevolence: dependability,rag_gain,sentence_early - sentence_none,0.021159266011649108
deberta,microsoft/deberta-v3-large,Benevolence: dependability,rag_gain,window_early - window_none,0.07569686643574944
deberta,microsoft/deberta-v3-large,Benevolence: dependability,rag_gain,doc_early - doc_none,0.03201068141899288
deberta,microsoft/deberta-v3-large,Benevolence: dependability,architecture_gain,doc_late - doc_early,-0.03575906740183407
deberta,microsoft/deberta-v3-large,Benevolence: dependability,architecture_gain,doc_cross_attention - doc_early,-0.007748356211592422
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,context_gain_no_rag,window_none - sentence_none,-0.016136841931819405
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,context_gain_no_rag,doc_none - sentence_none,0.04469881782647722
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,context_gain_rag,window_early - sentence_early,0.02597619855174877
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,context_gain_rag,doc_early - sentence_early,0.07946475917202739
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,rag_gain,sentence_early - sentence_none,-0.022575033403123147
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,rag_gain,window_early - window_none,0.01953800708044503
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,rag_gain,doc_early - doc_none,0.012190907942427012
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,architecture_gain,doc_late - doc_early,-0.007457033505821289
deberta,microsoft/deberta-v3-large,Conformity: interpersonal,architecture_gain,doc_cross_attention - doc_early,0.012998026101567944
deberta,microsoft/deberta-v3-large,Conformity: rules,context_gain_no_rag,window_none - sentence_none,-0.0563814099784557
deberta,microsoft/deberta-v3-large,Conformity: rules,context_gain_no_rag,doc_none - sentence_none,0.02010247514111696
deberta,microsoft/deberta-v3-large,Conformity: rules,context_gain_rag,window_early - sentence_early,-0.02859077272263416
deberta,microsoft/deberta-v3-large,Conformity: rules,context_gain_rag,doc_early - sentence_early,0.038329848401746025
deberta,microsoft/deberta-v3-large,Conformity: rules,rag_gain,sentence_early - sentence_none,0.0007228371485356044
deberta,microsoft/deberta-v3-large,Conformity: rules,rag_gain,window_early - window_none,0.028513474404357142
deberta,microsoft/deberta-v3-large,Conformity: rules,rag_gain,doc_early - doc_none,0.01895021040916467
deberta,microsoft/deberta-v3-large,Conformity: rules,architecture_gain,doc_late - doc_early,-0.00814054984083934
deberta,microsoft/deberta-v3-large,Conformity: rules,architecture_gain,doc_cross_attention - doc_early,-0.00987249183672867
deberta,microsoft/deberta-v3-large,Face,context_gain_no_rag,window_none - sentence_none,0.008469473369630734
deberta,microsoft/deberta-v3-large,Face,context_gain_no_rag,doc_none - sentence_none,0.057482673659339636
deberta,microsoft/deberta-v3-large,Face,context_gain_rag,window_early - sentence_early,0.003440109198064367
deberta,microsoft/deberta-v3-large,Face,context_gain_rag,doc_early - sentence_early,0.035881436232274466
deberta,microsoft/deberta-v3-large,Face,rag_gain,sentence_early - sentence_none,0.020987986456862243
deberta,microsoft/deberta-v3-large,Face,rag_gain,window_early - window_none,0.015958622285295876
deberta,microsoft/deberta-v3-large,Face,rag_gain,doc_early - doc_none,-0.0006132509702029276
deberta,microsoft/deberta-v3-large,Face,architecture_gain,doc_late - doc_early,0.0004532349926620882
deberta,microsoft/deberta-v3-large,Face,architecture_gain,doc_cross_attention - doc_early,-0.057085093796688066
deberta,microsoft/deberta-v3-large,Hedonism,context_gain_no_rag,window_none - sentence_none,-0.05099233819682032
deberta,microsoft/deberta-v3-large,Hedonism,context_gain_no_rag,doc_none - sentence_none,0.06900424602844901
deberta,microsoft/deberta-v3-large,Hedonism,context_gain_rag,window_early - sentence_early,-0.08974070344472142
deberta,microsoft/deberta-v3-large,Hedonism,context_gain_rag,doc_early - sentence_early,0.0380183824176715
deberta,microsoft/deberta-v3-large,Hedonism,rag_gain,sentence_early - sentence_none,0.0515686791324918
deberta,microsoft/deberta-v3-large,Hedonism,rag_gain,window_early - window_none,0.012820313884590706
deberta,microsoft/deberta-v3-large,Hedonism,rag_gain,doc_early - doc_none,0.020582815521714287
deberta,microsoft/deberta-v3-large,Hedonism,architecture_gain,doc_late - doc_early,-0.03523117402384432
deberta,microsoft/deberta-v3-large,Hedonism,architecture_gain,doc_cross_attention - doc_early,-0.0523758566357275
deberta,microsoft/deberta-v3-large,Humility,context_gain_no_rag,window_none - sentence_none,0.0
deberta,microsoft/deberta-v3-large,Humility,context_gain_no_rag,doc_none - sentence_none,0.0
deberta,microsoft/deberta-v3-large,Humility,context_gain_rag,window_early - sentence_early,0.0
deberta,microsoft/deberta-v3-large,Humility,context_gain_rag,doc_early - sentence_early,0.0
deberta,microsoft/deberta-v3-large,Humility,rag_gain,sentence_early - sentence_none,0.0
deberta,microsoft/deberta-v3-large,Humility,rag_gain,window_early - window_none,0.0
deberta,microsoft/deberta-v3-large,Humility,rag_gain,doc_early - doc_none,0.0
deberta,microsoft/deberta-v3-large,Humility,architecture_gain,doc_late - doc_early,0.0
deberta,microsoft/deberta-v3-large,Humility,architecture_gain,doc_cross_attention - doc_early,0.0
deberta,microsoft/deberta-v3-large,Power: dominance,context_gain_no_rag,window_none - sentence_none,-0.026879878444737104
deberta,microsoft/deberta-v3-large,Power: dominance,context_gain_no_rag,doc_none - sentence_none,0.030732333155387315
deberta,microsoft/deberta-v3-large,Power: dominance,context_gain_rag,window_early - sentence_early,-0.01678398653639024
deberta,microsoft/deberta-v3-large,Power: dominance,context_gain_rag,doc_early - sentence_early,0.017992892429726404
deberta,microsoft/deberta-v3-large,Power: dominance,rag_gain,sentence_early - sentence_none,0.013798576455352485
deberta,microsoft/deberta-v3-large,Power: dominance,rag_gain,window_early - window_none,0.02389446836369935
deberta,microsoft/deberta-v3-large,Power: dominance,rag_gain,doc_early - doc_none,0.0010591357296915738
deberta,microsoft/deberta-v3-large,Power: dominance,architecture_gain,doc_late - doc_early,-0.03461437225825076
deberta,microsoft/deberta-v3-large,Power: dominance,architecture_gain,doc_cross_attention - doc_early,-0.012852057830429975
deberta,microsoft/deberta-v3-large,Power: resources,context_gain_no_rag,window_none - sentence_none,-0.014874907491636558
deberta,microsoft/deberta-v3-large,Power: resources,context_gain_no_rag,doc_none - sentence_none,0.03609932062624166
deberta,microsoft/deberta-v3-large,Power: resources,context_gain_rag,window_early - sentence_early,-0.01743678295356338
deberta,microsoft/deberta-v3-large,Power: resources,context_gain_rag,doc_early - sentence_early,0.017550057721443357
deberta,microsoft/deberta-v3-large,Power: resources,rag_gain,sentence_early - sentence_none,0.01552459537738482
deberta,microsoft/deberta-v3-large,Power: resources,rag_gain,window_early - window_none,0.012962719915457999
deberta,microsoft/deberta-v3-large,Power: resources,rag_gain,doc_early - doc_none,-0.0030246675274134827
deberta,microsoft/deberta-v3-large,Power: resources,architecture_gain,doc_late - doc_early,-0.003966919697903526
deberta,microsoft/deberta-v3-large,Power: resources,architecture_gain,doc_cross_attention - doc_early,0.0065295680631459185
deberta,microsoft/deberta-v3-large,Security: personal,context_gain_no_rag,window_none - sentence_none,-0.040732207855409014
deberta,microsoft/deberta-v3-large,Security: personal,context_gain_no_rag,doc_none - sentence_none,0.04093478067499834
deberta,microsoft/deberta-v3-large,Security: personal,context_gain_rag,window_early - sentence_early,-0.03209452394872098
deberta,microsoft/deberta-v3-large,Security: personal,context_gain_rag,doc_early - sentence_early,0.03864272744807051
deberta,microsoft/deberta-v3-large,Security: personal,rag_gain,sentence_early - sentence_none,0.043649963165764416
